PERMNO,date,TICKER,PRC,SHROUT
11308,2008/09/30,KO,52.88000,2311498
11308,2008/10/31,KO,44.06000,2313555
11308,2008/11/28,KO,46.87000,2313555
11308,2008/12/31,KO,45.27000,2313555
11404,2008/09/30,ED,42.96000,273191
11404,2008/10/31,ED,43.32000,273191
11404,2008/11/28,ED,40.39000,273630
11404,2008/12/31,ED,38.93000,273630
11850,2008/09/30,XOM,77.66000,5194003
11850,2008/10/31,XOM,74.12000,5087000
11850,2008/11/28,XOM,80.15000,5086649
11850,2008/12/31,XOM,79.83000,5086649
12490,2008/09/30,IBM,116.96000,1354840
12490,2008/10/31,IBM,92.97000,1343458
12490,2008/11/28,IBM,81.60000,1343458
12490,2008/12/31,IBM,84.16000,1343458
13856,2008/09/30,PEP,71.27000,1565521
13856,2008/10/31,PEP,57.01000,1553121
13856,2008/11/28,PEP,56.70000,1553121
13856,2008/12/31,PEP,54.77000,1553121
14593,2008/09/30,AAPL,113.66000,888326
14593,2008/10/31,AAPL,107.59000,888935
14593,2008/11/28,AAPL,92.67000,888935
14593,2008/12/31,AAPL,85.35000,890415
15069,2008/09/30,MRO,39.87000,705551
15069,2008/10/31,MRO,29.10000,705551
15069,2008/11/28,MRO,26.18000,705576
15069,2008/12/31,MRO,27.36000,705576
18542,2008/09/30,CAT,59.60000,608716
18542,2008/10/31,CAT,38.20000,603234
18542,2008/11/28,CAT,40.99000,603234
18542,2008/12/31,CAT,44.67000,603234
21207,2008/09/30,NEM,38.76000,439229
21207,2008/10/31,NEM,26.34000,441451
21207,2008/11/28,NEM,33.65000,441451
21207,2008/12/31,NEM,40.70000,441451
21936,2008/09/30,PFE,18.44000,6740994
21936,2008/10/31,PFE,17.71000,6740994
21936,2008/11/28,PFE,16.43000,6742935
21936,2008/12/31,PFE,17.71000,6742935
22111,2008/09/30,JNJ,69.28000,2794496
22111,2008/10/31,JNJ,61.34000,2794496
22111,2008/11/28,JNJ,58.58000,2774568
22111,2008/12/31,JNJ,59.83000,2774568
25785,2008/09/30,F,5.20000,2190498
25785,2008/10/31,F,2.19000,2190498
25785,2008/11/28,F,2.69000,2318003
25785,2008/12/31,F,2.29000,2318003
26403,2008/09/30,DIS,30.69000,1876425
26403,2008/10/31,DIS,25.91000,1876425
26403,2008/11/28,DIS,22.52000,1851027
26403,2008/12/31,DIS,22.69000,1851027
38703,2008/09/30,WFC,37.53000,3308961
38703,2008/10/31,WFC,34.05000,3325244
38703,2008/11/28,WFC,28.89000,3728719
38703,2008/12/31,WFC,29.48000,3728719
43449,2008/09/30,MCD,61.70000,1124678
43449,2008/10/31,MCD,57.93000,1124678
43449,2008/11/28,MCD,58.75000,1114545
43449,2008/12/31,MCD,62.19000,1114545
47896,2008/09/30,JPM,46.70000,3904597
47896,2008/10/31,JPM,41.25000,3726900
47896,2008/11/28,JPM,31.66000,3732358
47896,2008/12/31,JPM,31.53000,3732358
55976,2008/09/30,WMT,59.89000,3933976
55976,2008/10/31,WMT,55.81000,3933976
55976,2008/11/28,WMT,55.88000,3933976
55976,2008/12/31,WMT,56.06000,3922552
65875,2008/09/30,VZ,32.09000,2847732
65875,2008/10/31,VZ,29.67000,2840484
65875,2008/11/28,VZ,32.65000,2840484
65875,2008/12/31,VZ,33.90000,2840484
66093,2008/09/30,T,27.92000,5893000
66093,2008/10/31,T,26.77000,5893000
66093,2008/11/28,T,28.56000,5893000
66093,2008/12/31,T,28.50000,5893000
70519,2008/09/30,C,20.51000,5445393
70519,2008/10/31,C,13.65000,5449500
70519,2008/11/28,C,8.29000,5449540
70519,2008/12/31,C,6.71000,5449540
